LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Chlorophyll a,479618,14.74,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Dissolved Organic Carbon,7440440,7.2,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Total Organic Carbon,7440440,7.2,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Pheophytin a,0,2.79,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Total Suspended Solids,0,32.3,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Field Specific Conductance,0, 925,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Field Dissolved Oxygen,0, 8.44,0.10,mg/L,ASTM Method D888-09-C (Field) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Field pH,0, 8.07,0.10,pH Units,SM 4500-H B-2000 (Field) [1]*,1 pH Units,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Field Water Temperature,0, 12.16,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0321B0176,03/15/2021 10:23,Field Turbidity,0, 20.85,0.10,F.N.U.,"Turbidity, Sonde [D-2]*",1 F.N.U.,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Chlorophyll a,479618,6.75,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Dissolved Organic Carbon,7440440,5.6,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Total Organic Carbon,7440440,5.7,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Pheophytin a,0,2.98,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Total Suspended Solids,0,21.4,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Field Specific Conductance,0, 803,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Field Dissolved Oxygen,0, 7.44,0.10,mg/L,ASTM Method D888-09-C (Field) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Field pH,0, 7.92,0.10,pH Units,SM 4500-H B-2000 (Field) [1]*,1 pH Units,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Field Water Temperature,0, 17.174,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0421B0270,04/13/2021 09:45,Field Turbidity,0, 16.17,0.10,F.N.U.,"Turbidity, Sonde [D-2]*",1 F.N.U.,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0521B0383,05/03/2021 11:00,Chlorophyll a,479618,2.99,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0521B0383,05/03/2021 11:00,Dissolved Organic Carbon,7440440,4.5,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Duplicate
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0521B0383,05/03/2021 11:00,Dissolved Organic Carbon,7440440,4.8,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0521B0383,05/03/2021 11:00,Total Organic Carbon,7440440,4.3,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Duplicate
Yolo Bypass Toe Drain Below Lisbon Weir,Toe Drain YB LISBON,B9D82851352,CF0521B0383,05/03/2021 11:00,Total Organic Carbon,7440440,4.5,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
