Measuring.Program.Name,Station.Name,WDL SAM_COLLECTION_DATE,Collection.Time,WeatherCode,secchi,water.temp,DO.probe,sp.cond,EC,pH,Tide,microcyst,VegRank,turb.FNU,FieldComments_WQ,DataCorrectionComments
NDFA,DWT,7/14/2020,8:02,CLR,0.15,22.5,4.82,596,568,7.33,N/A,1,2,55.5,,Time correction (8:32 to 8:02)
NDFA,I80,7/14/2020,8:45,CLR,0.2,23.1,5.32,698,672,7.71,N/A,2,1,52.5,,
NDFA,RD22,7/14/2020,11:41,CLR,0.31,26.1,6.06,926,945,7.81,N/A,1,2,30.1,,
NDFA,WWT,7/14/2020,11:09,CLR,,25.1,4.7,923,925,7.35,N/A,1,3,12.4,Too shallow for secchi. Lots of primrose. ,
NDFA,RMB,7/14/2020,8:32,CLR,0.35,27.3,1.95,694,725,7.3,N/A,1,2,22.1,,
NDFA,RCS,7/14/2020,9:42,CLR,0.49,26.9,2.16,696,721,7.48,N/A,1,2,11.2,,
NDFA,LIS,7/14/2020,10:12,CLR,0.22,24.9,6.28,322,322,7.87,Ebb,1,1,32.4,,
NDFA,SHR,7/13/2020,9:17,CLR,1,22.5,8.18,118,112,7.45,Ebb,1,1,7.9,Used homogenizing bucket for samples,"recorder name correction, pH correction (7.25 to 7.45)"
NDFA,RVB,7/13/2020,7:08,CLR,,23.8,9.52,135,131,6.88,Flood,1,1,5.4,forgot secchi disk,EC correction (431 to 131)
NDFA,RYI,7/13/2020,7:54,CLR,,23.6,7.61,143,139,7.3,Flood,1,1,5.7,forgot secchi disk,
NDFA ,LIB,7/13/2020,8:27,CLR,,23.4,7.48,149,144,7.51,Flood,1,1,6.5,forgot secchi disk,
NDFA,BL5,7/13/2020,8:55,CLR,,23.4,7.04,169,164,8.06,Flood,1,1,8.6,forgot secchi disk,
NDFA,STTD,7/13/2020,9:27,CLR,,25.9,8.2,198,201,8.6,Flood,1,1,17.5,forgot secchi disk,recorder name correction
NDFA,STTD,7/27/2020,11:55,CLR,0.6,22.7,8.4,180,172,8.75,High,1,2,14.3,,
NDFA,BL5,7/27/2020,11:15,CLR,1.1,21.9,7.93,158,148,7.65,Ebb,2,2,7.3,,
NDFA,LIB,7/27/2020,10:40,CLR,1.5,22.3,8.01,152,144,7.54,High,1,2,7.6,,
NDFA,RYI,7/27/2020,9:56,CLR,1.6,22.4,7.9,151,143,7.5,High,2,1,5.5,,
NDFA,RVB,7/27/2020,9:00,CLR,1.7,22.3,7.92,151,143,7.25,Flood,2,1,6.3,Time inside bottles should have been changed to 9:00am,
NDFA,SHR,7/27/2020,8:55,CLR,1.12,22,8.39,136,128,7.54,Flood,1,1,6.6,,
NDFA,LIS,7/28/2020,10:29,CLR,0.3,23.9,7.53,349,342,7.98,Flood,1,1,23,,
NDFA,I80,7/28/2020,8:59,CLR,0.15,22.8,4.92,489,468,7.62,N/A,2,2,65,,
NDFA,DWT,7/28/2020,7:59,CLR,0.14,22.5,4.87,456,435,7.45,N/A,1,2,62.3,,
NDFA,RD22,7/28/2020,10:33,CLR,0.26,24.9,5.81,853,851,7.83,N/A,1,2,33.9,,
NDFA,WWT,7/28/2020,10:00,CLR,N/A,23.6,4.51,940,915,7.38,N/A,1,2,14,no secchi. Too shallow,
NDFA,RCS,7/28/2020,8:43,CLR,0.28,25.7,3.88,576,583,7.58,N/A,1,2,22,,
NDFA,RMB,7/28/2020,7:40,CLR,0.26,25.9,3.56,578,588,7.35,N/A,1,2,25.9,,
NDFA,SHR,8/10/2020,10:57,CLR,1.8,23.2,8.21,155,150,7.55,Flood,1,1,5.3,forgot YSI-teturned to dock to get the measurements,
NDFA,RVB,8/10/2020,8:38,CLR,2,23.5,7.72,159,155,7.32,Flood,2,1,5.4,,
NDFA,RYI,8/10/2020,9:19,CLR,2,23.3,7.75,157,152,7.51,High,1,1,4.7,,
NDFA,LIB,8/10/2020,9:47,CLR,2,23.2,7.85,161,155,7.65,High,2,1,5.1,,changed ph from 7.85 to 7.65
NDFA,BL5,8/10/2020,10:22,CLR,1.25,23.1,7.76,169,163,7.84,High,1,1,6.6,,
NDFA,STTD,8/10/2020,11:01,CLR,0.75,24.5,8.48,192,190,8.63,High,1,1,10.8,,
NDFA,LIS,8/11/2020,10:24,CLR,0.26,24.2,7.19,312,308,8,Ebb,1,1,24.9,,added ebb tide 
NDFA,I80,8/11/2020,9:02,CLR,0.19,23.1,3.95,530,510,7.52,N/A,1,1,57.7,,
NDFA,DWT,8/11/2020,8:25,CLR,0.18,23,4.19,488,470,7.42,N/A,1,2,44.9,,water temp. 23.1 to 23
NDFA,RD22,8/11/2020,10:12,CLR,0.25,24.8,6.72,816,812,8.1,N/A,1,1,31.2,,
NDFA,WWT,8/11/2020,9:32,CLR,0.52,24.5,3.2,945,936,7.25,N/A,1,2,10.5,,
NDFA,RCS,8/11/2020,8:39,CLR,0.38,25.5,4.18,533,539,7.58,N/A,1,1,21.2,,
NDFA,RMB,8/11/2020,7:34,CLR,0.3,25.4,4.53,537,542,7.47,N/A,1,1,23.9,,
YBFMP,STTD,2/10/2020,10:24,CLR,0.21,9.5,10.5,729,513,7.84,Ebb,1,1,24.5,Difficult to hold light attenuation pole steady with gusty wind,
YBFMP,STTD,12/1/2020,9:55,CLR,1.3,9.5,11.1,222,157,8.11,Ebb,1,2,6.5,Sealion on screwtrap sampled from Anchored boat,
YBFMP,SHR,11/30/2020,10:13,CLR,3,9.9,10.76,147,105,7.46,Ebb,1,1,4.7,end of pole to handle for light attenuation,
YBFMP,LIS,12/1/2020,12:42,CLR,0.62,10.2,5.06,302,217,7.54,Ebb,1,1,13.3,,corrected pH
YBFMP,STTD,11/17/2020,10:25,CLD,2,12.3,10.5,204,155,8.07,Ebb,1,2,3.8,went to end of pole for 1% reading,corrected field crew
YBFMP,LIS,11/17/2020,13:41,RAN,0.42,12.5,8.11,296,226,7.83,Flood,1,2,15.96,,
YBFMP,SHR,11/16/2020,10:25,CLD,3,11.4,10.43,142,105,7.48,Ebb,1,1,3.4,,
YBFMP,LIS,2/10/2020,12:53,CLR,0.23,10.1,10.8,656,469,8.1,Ebb,1,1,29.2,,
YBFMP,SHR,2/11/2020,9:25,CLR,0.5,9.7,10.91,216,153,7.63,Ebb,1,1,13.1,,
YBFMP,LIS,3/10/2020,11:19,CLR,0.33,14.5,9.7,853,682,8.11,Ebb,1,1,23.4,,
YBFMP,STTD,3/10/2020,9:51,CLR,0.35,13.8,9.09,881,693,7.62,Ebb,1,1,18.4,,
YBFMP,SHR,3/9/2020,8:58,CLR,1.1,13.1,10.09,165,127,7.8,Ebb,1,1,7.6,,
YBFMP,LIS,2/24/2020,11:39,CLR,0.26,13.2,9.8,850,659,8.03,Ebb,1,1,27.1,,
YBFMP,STTD,2/24/2020,9:47,CLR,0.42,13.2,9.41,824,638,7.96,Ebb,1,1,17.1,,
YBFMP,SHR,2/25/2020,9:22,CLR,0.95,12.2,10.56,167,126,7.73,high,1,1,9.1,end of pole to handle for light attenuation,corrected 4th light depth value
