LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Calcium,7440702,10.9,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Matrix Spike
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Chloride,16887006,18.9,3,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Chlorophyll a,479618,1.54,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Nitrate + Nitrite,0,0.051,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Total Organic Carbon,7440440,1.9,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Organic Nitrogen,7727379,0.13,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved ortho-Phosphate,14265442,0.062,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Pheophytin a,0,0.6,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Total Phosphorus,7723140,0.068,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Dissolved Silica (SiO2),7631869,13.7,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,Matrix Spike
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Total Dissolved Solids,0,111,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Total Suspended Solids,0,4,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Total Kjeldahl Nitrogen,0,0.19,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Field Specific Conductance,0, 212,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0125,08/03/2021 09:21,Field Water Temperature,0, 21.4,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Calcium,7440702,11.1,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Chloride,16887006,18.8,2.50,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Chlorophyll a,479618,1.2,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Total Organic Carbon,7440440,2,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Organic Nitrogen,7727379,0.12,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved ortho-Phosphate,14265442,0.071,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Pheophytin a,0,0.93,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Total Phosphorus,7723140,0.071,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Dissolved Silica (SiO2),7631869,13,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Total Dissolved Solids,0,117,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Total Suspended Solids,0,3.1,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Total Kjeldahl Nitrogen,0,0.167,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Field Specific Conductance,0, 204,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0143,08/17/2021 09:06,Field Water Temperature,0, 21.8,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Calcium,7440702,13.8,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Chloride,16887006,17.8,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Chlorophyll a,479618,0.73,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Nitrate + Nitrite,0,<0.05,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Organic Carbon,7440440,2.4,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Total Organic Carbon,7440440,2.8,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Organic Nitrogen,7727379,0.14,0.10,mg/L as N,EPA 351.2/EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved ortho-Phosphate,14265442,0.083,0.05,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Pheophytin a,0,0.5,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Total Phosphorus,7723140,0.074,0.01,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Dissolved Silica (SiO2),7631869,14.9,0.10,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Total Dissolved Solids,0,125,2.50,mg/L,Std Method 2540 C [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Total Suspended Solids,0,4.9,2.50,mg/L,EPA 160.2 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Volatile Suspended Solids,0,<2.5,2.50,mg/L,EPA 160.4 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Total Kjeldahl Nitrogen,0,0.206,0.10,mg/L as N,EPA 351.2 [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Field Specific Conductance,0, 211,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0821B0161,08/31/2021 09:21,Field Water Temperature,0, 22.2,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Ammonia,7664417,<0.05,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Calcium,7440702,13.6,1,mg/L,EPA 200.7 (D) [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Chloride,16887006,14.9,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Chloride,16887006,14.9,1,mg/L,EPA 300.0 [1]*,1 mg/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Chlorophyll a,479618,0.67,0.50,ug/L,Std Method 10200 H [1]*,1 ug/L,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Nitrate + Nitrite,0,0.052,0.05,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Dissolved Organic Carbon,7440440,2.2,0.50,mg/L as C,EPA 415.3 (D) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
Liberty at Approx Center South End,Liberty at S End,B9D81450411,ES0921B0197,09/14/2021 09:31,Total Organic Carbon,7440440,2.1,0.50,mg/L as C,EPA 415.3 (T) [PS-3]*,1 mg/L as C,"Water, Natural",Normal Sample,0,,Matrix Spike
