LongStationName,ShortStationName,StationNumber,SampleCode,CollectionDate,Analyte,CASReg_Number,Result,RptLimit,Units,Method,Depth,Matrix,SampleType,ParentSample,Description,Notes
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Dissolved Ammonia,7664417,0.136,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Dissolved Nitrate + Nitrite,0,8.92,0.25,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Dissolved ortho-Phosphate,14265442,3.96,0.25,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Total Phosphorus,7723140,3.92,0.10,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Field Specific Conductance,0, 1087,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0119,08/02/2021 08:15,Field Water Temperature,0, 23.4,0.10,°C,EPA 170.1 (Field) [1]*,1 °C,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0137,08/16/2021 08:29,Dissolved Ammonia,7664417,0.136,0.05,mg/L as N,EPA 350.1 (D) [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0137,08/16/2021 08:29,Dissolved Nitrate + Nitrite,0,5.98,0.25,mg/L as N,Std Method 4500-NO3-F [1]*,1 mg/L as N,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0137,08/16/2021 08:29,Dissolved ortho-Phosphate,14265442,3.01,0.25,mg/L as P,EPA 365.1 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0137,08/16/2021 08:29,Total Phosphorus,7723140,2.93,0.10,mg/L as P,EPA 365.4 [1]*,1 mg/L as P,"Water, Natural",Normal Sample,0,,
Davis Wastewater Discharge at Toe Drain,Davis Wastewater,A0033300,ES0821B0137,08/16/2021 08:29,Field Specific Conductance,0, 1051,1,uS/cm@25 °C,EPA 120.1 (Field) [1]*,1 uS/cm@25 °C,"Water, Natural",Normal Sample,0,,
