MethodCode,SampleDate,SampleTime,Full Code,StationCode,Depth (m),Volume Received (mL),Volume Analyzed (mL),Percent of Sample Counted,Field-of-view (mm²),Slide/ Chamber Area (mm²),Area Counted,Number of Fields Counted,Factor,BSA_TIN,Taxon,Diatom/SoftBody,Genus,Species,Synonym,Unit Abundance,Number of cells per unit,GALD 1,GALD 2,GALD 3,Colony/Filament/Individual Group Code,BSA#,Taxonomist,Comments,Shape,Biovolume 1,Biovolume 2,Biovolume 3,Biovolume 4,Biovolume 5,Biovolume 6,Biovolume 7,Biovolume 8,Biovolume 9,Biovolume 10,Dimension,Measurement average,Measurement 1,Measurement 2,Measurement 3,Measurement 4,Measurement 5,Measurement 6,Measurement 7,Measurement 8,Measurement 9,Measurement 10,Measurement 11,Measurement 12,Measurement 13,Measurement 14,Measurement 15,Measurement 16,Measurement 17,Measurement 18,Measurement 19,Measurement 20,Measurement 21,Measurement 22,Measurement 23,Measurement 24,Measurement 25
Phyto,10/12/2021,7:09,ES1021B0271,RVB,1,61,5,8.20%,0.0683,314.159,1.4343,21,43.81,749,cf. Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,16.7,,,i,BSA.YOLO-01,AB,Low detritus.,prism on parallelogram,27.56,,,,,,,,,,Length,16.7,16.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.2,2.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,7:09,ES1021B0271,RVB,1,61,5,8.20%,0.0683,314.159,1.4343,21,43.81,1031,Chlamydomonas sp.,Soft Body,Chlamydomonas,sp.,,1,1,7.4,,,i,BSA.YOLO-01,AB,Low detritus.,sphere,212.17,,,,,,,,,,Length,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,7.4,7.4,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,7:09,ES1021B0271,RVB,1,61,5,8.20%,0.0683,314.159,1.4343,21,43.81,1733,Plagioselmis prolonga,Soft Body,Plagioselmis,prolonga,,2,2,5.6,,,i,BSA.YOLO-01,AB,Low detritus.,cone + half sphere,76.35,,,,,,,,,,Length,5.6,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,7:09,ES1021B0271,RVB,1,61,5,8.20%,0.0683,314.159,1.4343,21,43.81,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,399,798,0.8,0.8,0.8,c,BSA.YOLO-01,AB,Low detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/11/2021,9:34,ES1021B0265,LIS,1,60,2,3.33%,0.0683,314.159,2.5954,38,60.52,749,Nitzschia sp.,Diatom,Nitzschia,sp.,,1,1,40.7,,,i,BSA.YOLO-02,AB,Moderate detritus.,prism on parallelogram,274.73,,,,,,,,,,Length,40.7,40.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,4.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3,3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:34,ES1021B0265,LIS,1,60,2,3.33%,0.0683,314.159,2.5954,38,60.52,870,Pseudostaurosira sp.,Diatom,Pseudostaurosira,sp.,,7,7,22.2,,,i,BSA.YOLO-02,AB,Moderate detritus.,box,418.46,,,,,,,,,,Length,22.2,22.2,22.2,22.2,22.2,22.2,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:34,ES1021B0265,LIS,1,60,2,3.33%,0.0683,314.159,2.5954,38,60.52,2038,Pseudostaurosiropsis sp.,Diatom,Pseudostauosiropsis ,sp.,,1,1,9.3,,,i,BSA.YOLO-02,AB,Moderate detritus.,elliptic prism,14.61,,,,,,,,,,Length,9.3,9.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2,2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1,1,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:34,ES1021B0265,LIS,1,60,2,3.33%,0.0683,314.159,2.5954,38,60.52,1037,Chlorella sp.,Soft Body,Chlorella,sp.,,1,1,3.7,,,i,BSA.YOLO-02,AB,Moderate detritus.,sphere,26.52,,,,,,,,,,Length,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:34,ES1021B0265,LIS,1,60,2,3.33%,0.0683,314.159,2.5954,38,60.52,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,390,780,0.8,0.8,0.8,c,BSA.YOLO-02,AB,Moderate detritus.,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/12/2021,9:58,ES1021B0267,BL5,1,60,4,6.67%,0.0683,314.159,1.0928,16,71.87,147,Cocconeis sp.,Diatom,Cocconeis,sp.,,2,2,18.5,,,i,BSA.YOLO-03,AB,,elliptic prism,273,,,,,,,,,,Length,15.8,18.5,13,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.8,10.1,7.4,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,2.5,3,2,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:58,ES1021B0267,BL5,1,60,4,6.67%,0.0683,314.159,1.0928,16,71.87,631,cf. Navicula sp.,Diatom,Navicula,sp.,,1,1,18,,,i,BSA.YOLO-03,AB,,elliptic prism,53.01,,,,,,,,,,Length,18,18,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/12/2021,9:58,ES1021B0267,BL5,1,60,4,6.67%,0.0683,314.159,1.0928,16,71.87,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,398,796,0.8,0.8,0.8,c,BSA.YOLO-03,AB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,46,Achnanthidium sp.,Diatom,Achnanthidium,sp.,,1,1,10.2,,,i,BSA.YOLO-04,BB,,elliptic prism,109.67,,,,,,,,,,Length,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,5,5,9.3,,,i,BSA.YOLO-04,BB,,cylinder,348.38,,,,,,,,,,Length,5.6,7.4,7.4,3.7,3.7,5.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.9,9.3,9.3,9.3,7.4,9.3,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,70.4,,,i,BSA.YOLO-04,BB,,cymbelloid,1340.64,,,,,,,,,,Length,70.4,70.4,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,10.2,10.2,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,5.6,5.6,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,750,Nitzschia spp.,Diatom,Nitzschia,spp.,,3,3,46.3,,,i,BSA.YOLO-04,BB,,prism on parallelogram,220.55,,,,,,,,,,Length,29,18.5,22.2,46.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,3.9,3.7,3.7,4.3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depth,3.9,4.3,3.7,3.7,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,895,Skeletonema sp.,Diatom,Skeletonema,sp.,,2,2,10.2,,,i,BSA.YOLO-04,BB,,cylinder + 2 half spheres,292.01,,,,,,,,,,Length,8.8,7.4,10.2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,6.5,3.7,9.3,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,1419,Eucapsis microscopica,Soft Body,Eucapsis,microscopica,,405,830,0.8,0.8,0.8,c,BSA.YOLO-04,BB,,sphere,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,Length,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
Phyto,10/11/2021,7:20,ES1021B0262,RD22,1,63,4,6.35%,0.0697,314.159,1.8819,27,41.73,1477,cf. Microcystis sp.,Soft Body,Microcystis,sp.,,1,1,4.3,,,i,BSA.YOLO-04,BB,,sphere,41.63,,,,,,,,,,Length,4.3,4.3,,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,190,Cyclotella sp.,Diatom,Cyclotella,sp.,,2,2,15.7,,,i,BSA.YOLO-05,CB,High sediment and detritus.,cylinder,944.87,,,,,,,,,,Length,6.7,5.5,7.8,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13.4,11.1,15.7,,,,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,190,cf. Cyclotella sp.,Diatom,Cyclotella,sp.,,9,9,9.3,,,i,BSA.YOLO-05,CB,High sediment and detritus.,cylinder,238.33,,,,,,,,,,Length,4.2,4.6,3.7,4.6,3.7,4.6,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,8.5,9.3,7.4,9.3,7.4,9.3,,,,,,,,,,,,,,,,,,,,
Phyto,10/11/2021,9:46,ES1021B0260,RMB,1,63,3,4.76%,0.0683,314.159,1.4343,21,73.01,310,Encyonema sp.,Diatom,Encyonema,sp.,,1,1,159.3,,,i,BSA.YOLO-05,CB,High sediment and detritus.,cymbelloid,4487.86,,,,,,,,,,Length,159.3,159.3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Width,13,13,,,,,,,,,,,,,,,,,,,,,,,,
