Date,Time,Station.Code,WDL_SAM_code,Year,Volume.Mesozooplankton.150,Subsample.Volume.Mesozooplankton.150,Volume.Microzooplankton.150,Subsample.Volume.Microzooplankton.150,Volume.Mesozooplankton.50.,Subsample.Volume.Mesozooplankton.50,Volume.Microzooplankton.50,Subsample.Volume.Microzooplankton.50,LabComments,Unable_to_make_micro_tally,Unable_to_make_meso_tally,OrganismID,ZOOP.COUNT,ZOOP.CLASSIFICATION,ZOOP.ORGANISM,ZOOP.LIFE,Entered_by,QAQC_by
8/5/2014,12:05,BL5,EDZ0208B9217,,2000,1,2000,1,,,,,"High detritus, High silt",Y,N,1,100,Microzooplankton & Nauplii,Rotifers,0,,
8/5/2014,12:05,BL5,EDZ0208B9217,,2000,1,2000,1,,,,,"High detritus, High silt",Y,N,2,5,Microzooplankton & Nauplii,Barnacles,0,,
8/5/2014,12:05,BL5,EDZ0208B9217,,2000,1,2000,1,,,,,"High detritus, High silt",Y,N,42,1,Cladocera,Juvenile Daphnia,juvenile,,
10/10/2016,13:12,STTD,EDZ1016B9217,,5000,1,3000,1,2000,1,2000,1,High silt,N,N,10,20,Cyclopoids,Acanthocyclops vernalis adult,adult,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,1,141,Microzooplankton & Nauplii,Rotifers,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,3,4,Microzooplankton & Nauplii,Copepod nauplii,nauplius,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,6,1,Microzooplankton & Nauplii,Ostracods,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,10,1,Cyclopoids,Acanthocyclops vernalis adult,adult,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,8,95,Cyclopoids,Cyclopoid copepodid,copepodid,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,108,1,Cyclopoids,Diacyclops thomasi,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,84,2,Cyclopoids,Microcyclops rubellus,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,92,2,Cladocera,Alonella,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,35,88,Cladocera,Bosmina,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,36,8,Cladocera,Ceriodaphnia,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,38,11,Cladocera,Chydorus,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,87,1,Cladocera,Leydigia,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,99,6,Cladocera,Moina,0,,
11/13/2019,9:36,SHR,ES1119B0469,1990,65,0.6,65,2,,,,,High detritus,Y,N,103,1,Cladocera,Simocephalus,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,1,71,Microzooplankton & Nauplii,Rotifers,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,3,8,Microzooplankton & Nauplii,Copepod nauplii,nauplius,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,6,2,Microzooplankton & Nauplii,Ostracods,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,10,7,Cyclopoids,Acanthocyclops vernalis adult,adult,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,8,66,Cyclopoids,Cyclopoid copepodid,copepodid,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,84,1,Cyclopoids,Microcyclops rubellus,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,85,1,Calanoids,Arctodiaptomus dorsalis,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,64,5,Calanoids,Calanoid copepodids,copepodid,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,43,9,Cladocera,Alona,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,35,30,Cladocera,Bosmina,0,,
11/25/2019,9:35,SHR,ES1119B0488,1996,90,0.9,89,1.25,,,,,High detritus,Y,N,39,1,Cladocera,Camptocercus,0,,
